week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,24.4,23.2,15.3,13.7,8.0,83.4,84.6
2,30.8,24.0,74.1,8.7,13.0,157.4,150.6
3,29.1,13.8,54.6,12.1,7.0,122.7,116.6
4,26.3,43.9,50.3,14.0,12.0,138.5,146.5
5,25.9,30.9,36.2,24.5,7.0,131.7,124.5
6,18.5,37.3,32.5,13.7,14.0,109.5,115.9
7,21.7,17.9,18.8,15.7,14.0,130.7,88.0
8,23.8,39.6,55.3,11.9,9.0,104.4,139.6
9,24.8,23.1,39.8,22.5,10.0,87.5,120.3
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12.9,12.8,28.5,21.5,11.0,127.2,86.7
12,30.9,15.2,45.7,5.8,2.0,119.9,99.6
13,29.4,18.1,57.6,19.2,4.0,128.0,128.4
14,16.2,51.3,45.8,1.7,15.0,132.0,129.9
